Date,PR,GHI
04-05-2021,75.74457764,3.592533333
05-05-2021,65.81167319,5.396108333
06-05-2021,77.53399902,4.161741667
07-05-2021,67.72989881,5.448483333
08-05-2021,83.13317573,5.926033333
09-05-2021,83.52568208,3.932033333
10-05-2021,70.6215225,4.729975
11-05-2021,63.54684753,6.520441667
12-05-2021,67.27020355,6.123708333
13-05-2021,72.62914563,5.056091667
14-05-2021,80.58428564,5.725175
15-05-2021,82.62436035,4.051708333
16-05-2021,80.20258609,4.164675
17-05-2021,81.14592307,4.859341667
18-05-2021,73.65865639,5.739525
19-05-2021,63.21525782,5.90975
20-05-2021,74.30238862,6.281358333
21-05-2021,61.43755755,5.852325
22-05-2021,74.3970245,5.981325
23-05-2021,61.58375728,5.256925
24-05-2021,62.42075606,3.089816667
25-05-2021,78.89371378,6.332116667
26-05-2021,61.62369128,6.18565
27-05-2021,72.88497858,5.4784
28-05-2021,72.70578373,3.296966667
29-05-2021,74.99590519,3.667841667
30-05-2021,69.20369021,2.852183333
31-05-2021,78.50826384,2.717125
01-06-2021,68.87633524,3.595508333
02-06-2021,62.88708413,4.808441667
05-06-2021,79.08599954,5.292016667
06-06-2021,72.1702366,5.98765
07-06-2021,79.88007224,4.842283333
08-06-2021,77.29574387,4.506258333
09-06-2021,60.64390862,3.985116667
10-06-2021,66.23325834,3.222533333
11-06-2021,80.90123037,5.855191667
12-06-2021,60.59910905,6.5543
13-06-2021,72.39693681,3.73
14-06-2021,78.76041599,4.535691667
15-06-2021,60.32529965,5.722691667
16-06-2021,70.7694985,3.865775
17-06-2021,66.66965168,4.174416667
18-06-2021,74.27436761,2.655541667
19-06-2021,81.68971449,5.254816667
20-06-2021,80.63315423,4.542575
21-06-2021,74.72682588,5.688958333
22-06-2021,65.53509604,5.361808333
23-06-2021,70.72157983,2.928783333
24-06-2021,64.21049448,4.2413
25-06-2021,68.06328707,5.188091667
26-06-2021,83.84207408,5.100383333
27-06-2021,82.47158407,5.665241667
28-06-2021,77.20580226,5.767216667
29-06-2021,81.55935567,4.787883333
30-06-2021,77.20331671,5.460966667
01-07-2021,84.7699836,4.524466667
02-07-2021,63.20853215,4.662016667
03-07-2021,78.35262338,5.138308333
04-07-2021,84.09817081,5.625883333
05-07-2021,72.89388546,5.828241667
06-07-2021,76.38979995,5.149116667
07-07-2021,81.77536229,4.361525
08-07-2021,67.87960601,5.940125
09-07-2021,64.09475269,4.5078
10-07-2021,62.04101834,4.780541667
11-07-2021,83.8501172,3.1595
12-07-2021,66.35927925,6.798441667
13-07-2021,71.21065978,5.053208333
14-07-2021,72.01887248,5.964591667
15-07-2021,71.57437185,6.168666667
16-07-2021,83.44409415,4.348666667
17-07-2021,66.02987703,6.70605
18-07-2021,63.93345641,6.500833333
19-07-2021,67.30536284,5.047366667
20-07-2021,80.84051944,5.3084
21-07-2021,82.68233834,3.497525
22-07-2021,79.77389156,5.08975
23-07-2021,81.97642408,6.084875
24-07-2021,73.75992663,2.886766667
25-07-2021,75.3427307,4.808008333
26-07-2021,79.79306328,4.709216667
27-07-2021,77.20349712,5.390408333
28-07-2021,67.81317142,4.287058333
29-07-2021,80.48844149,4.798375
30-07-2021,70.92533959,4.6332
31-07-2021,62.05911381,4.0792
01-08-2021,79.36368827,4.747466667
